filename;section;text
065.rtf;common;Заведующий аптекой в своей деятельности руководствуется:
065.rtf;common;Уставом организации
065.rtf;common;Настоящей должностной инструкцией
065.rtf;common;Заведующий аптекой подчиняется непосредственно
065.rtf;tasks;Заведующий аптекой:
065.rtf;tasks;Руководит аптекой в соответствии с действующим законодательством
065.rtf;tasks;Организует работу коллектива по осуществлению своевременного и качественного обеспечения населения лекарственными препаратами, взаимодействие с другими учреждениями здравоохранения
065.rtf;tasks;Обеспечивает наличие минимального ассортимента лекарственных средств, необходимых для оказания медицинской помощи, установленного федеральным органом исполнительной власти в сфере здравоохранения
065.rtf;tasks;Контролирует выполнение работниками аптеки приказов и распоряжений
065.rtf;tasks;Проводит анализ деятельности аптеки и на основе показателей ее работы принимает меры по улучшению обеспечения населения лекарственными препаратами
065.rtf;tasks;Организует финансово-хозяйственную деятельность аптеки с использованием новых экономических подходов и методов управления
065.rtf;tasks;Принимает участие в решении возникающих в процессе деятельности аптеки задач в области организации лекарственного обеспечения населения
065.rtf;tasks;Осуществляет рациональное использование трудовых, финансовых и материальных ресурсов аптеки
065.rtf;tasks;Организует работу по кадровому планированию, рациональной расстановке, использованию, обучению и оценке квалификации средних фармацевтических кадров
065.rtf;tasks;Контролирует качество выполнения работы подчиненными сотрудниками и соблюдение ими правил внутреннего трудового распорядка.
065.rtf;rights;Заведующий аптекой имеет право:
065.rtf;rights;Действовать от имени аптеки во взаимоотношениях с иными организациями и органами государственной власти
065.rtf;rights;Подписывать и визировать документы в пределах своей компетенции
065.rtf;rights;Запрашивать от работников необходимые информацию и документы
065.rtf;rights;Давать работникам обязательные для исполнения указания
065.rtf;rights;"Вносить на рассмотрение директора организации представления о назначении, перемещении и освобождении от занимаемых должностей работников аптеки; предложения о поощрении отличившихся работников, наложении взысканий на нарушителей производственной и трудовой дисциплины"
065.rtf;rights;Принимать участие в работе совещаний, конференций, секций, на которых рассматриваются вопросы, относящиеся к профессиональной компетенции
065.rtf;respons;За ненадлежащее исполнение или неисполнение своих должностных обязанностей, предусмотренных настоящей должностной инструкцией - в пределах, определенных действующим трудовым законодательством Российской Федерации
065.rtf;respons;За правонарушения, совершенные в процессе осуществления своей деятельности - в пределах, определенных действующим административным, уголовным и гражданским законодательством Российской Федерации
065.rtf;respons;За причинение материального ущерба - в пределах, определенных действующим трудовым и гражданским законодательством Российской Федерации
065.rtf;respons;За причинение вреда здоровью человека - в пределах, определенных действующим уголовным и гражданским законодательством Российской Федерации
067.rtf;common;На должность заведующего аспирантурой назначается лицо, имеющее высшее профессиональное образование и стаж научной или научно-педагогической работы по специальности не менее лет
067.rtf;common;Назначение на должность заведующего аспирантурой и освобождение от нее производится приказом директор организации
067.rtf;common;Заведующий аспирантурой должен знать:
067.rtf;common;Действующее законодательство, постановления и распоряжения правительства, руководящие и нормативные материалы о подготовке научно-педагогических и научных кадров
067.rtf;common;Направления развития отрасли экономики по профилю деятельности учреждения, организации
067.rtf;common;Порядок планирования, организации и финансирования учебного процесса
067.rtf;common;Правила и порядок оформления диссертационных работ и рефератов
067.rtf;common;Порядок учета и оформления учебной документации
067.rtf;common;Основы делопроизводства
067.rtf;common;Законодательство о труде
067.rtf;common;Правила и нормы охраны труда
067.rtf;common;Заведующий аспирантурой подчиняется непосредственно
067.rtf;tasks;Заведующий аспирантурой:
067.rtf;tasks;Организует учебный процесс подготовки аспирантов в научных учреждениях (организациях) и учреждениях высшего профессионального образования в соответствии с действующей номенклатурой специальностей научных сотрудников
067.rtf;tasks;Принимает от поступающих в очную и заочную аспирантуру и оформляет согласном установленному порядку необходимые документы, передает их на рассмотрение приемной комиссии
067.rtf;tasks;Разрабатывает планы приема аспирантов по специальностям за счет бюджетных и небюджетных средств, графики проведения вступительных и сдачи кандидатских экзаменов
067.rtf;tasks;Согласовывает их с руководством учреждения (организации), осуществляет контроль за их выполнением Уведомляет членов приемных и экзаменационных комиссий, аспирантов и соискателей о времени и месте проведения экзаменов.
067.rtf;tasks;Обеспечивает эффективную работу приемных и экзаменационных комиссий
067.rtf;tasks;Привлекает к участию на договорной основе в учебном процессе профессоров, доцентов, а также высококвалифицированных преподавателей учебных дисциплин по соответствующему профилю подготовки
067.rtf;tasks;Организует разработку и учет выполнения аспирантами индивидуальных учебных планов, составляет отчеты о работе аспирантуры, предоставляет необходимые сведения, касающиеся подготовки научных кадров, ученому (научно-техническому) совету учреждения (организации)
067.rtf;tasks;По результатам проведенных экзаменов подготавливает проекты приказов о зачислении в очную или заочную аспирантуру, а также о предложении обучения или отчисления из аспирантуры
067.rtf;tasks;Оформляет документы о прикреплении соискателей для сдачи кандидатских экзаменов и подготовки диссертаций на соискание ученой степени кандидата наук
067.rtf;tasks;Консультирует аспирантов и соискателей по вопросам их прав и обязанностей, действующих правил и порядка оформления диссертационных работ.
067.rtf;rights;Заведующий аспирантурой имеет право:
067.rtf;rights;Знакомиться с проектами решений директора организации, касающимися деятельности аспирантуры
067.rtf;rights;Участвовать в обсуждении вопросов, касающихся исполняемых им должностных обязанностей
067.rtf;rights;Вносить на рассмотрение заведующего руководства организации предложения по улучшению деятельности организации (аспирантуры)
067.rtf;rights;Осуществлять взаимодействие с руководителями всех (отдельных) структурных подразделений организации
067.rtf;rights;Подписывать и визировать документы в пределах своей компетенции
067.rtf;rights;Требовать от руководства организации оказания содействия в исполнении своих должностных обязанностей и прав
067.rtf;respons;Заведующий аспирантурой:
067.rtf;respons;За ненадлежащее исполнение или неисполнение своих должностных обязанностей, предусмотренных настоящей должностной инструкцией - в пределах, определенных действующим трудовым законодательством Российской Федерации
067.rtf;respons;За правонарушения, совершенные в процессе осуществления своей деятельности - в пределах, определенных действующим административным, уголовным и гражданским законодательством Российской Федерации
067.rtf;respons;За причинение материального ущерба - в пределах, определенных действующим трудовым и гражданским законодательством Российской Федерации
068.rtf;common;"среднее профессиональное (техническое) образование и стаж работы (по профилю не менее лет; в должности заведующего бюро по розыску грузов и"
068.rtf;common;багажа не менее года)  Назначение на должность и освобождение от нее производится нее приказом
068.rtf;common;директора предприятия по представлению  Заведующий бюро по розыску грузов должен знать:  Действующие приказы, указания, распоряжения и инструкции по кругу обязанностей  Правила перевозок грузов.  Условия перевозок грузов и багажа.  Инструкцию по розыску грузов на железных дорогах.  Инструкцию по учету погрузки и выгрузки грузов при перевозках железнодорожным транспортом.  Правила коммерческого осмотра поездов и вагонов.  Методику актово-претензионной работы.  Соглашение о международном грузовом сообщении.  Положение о порядке охраны грузов и объектов на железнодорожном транспорте. . Стандарты на условия транспортирования и упаковку грузов. . Схему сети железных дорог Российской Федерации. . Основные направления грузопотоков и пункты передачи и перегруза грузов и багажа. . Основы экономики, организации труда и управления. . Правила внутреннего трудового распорядка. . Основы трудового законодательства. . Правила и нормы охраны труда.    Заведующий бюро по розыску грузов непосредственно
069.rtf;common;Заведующий бюро пропусков относится к категории руководителей
069.rtf;common;На должность заведующего бюро пропусков назначается лицо, имеющее среднее (полное) общее образование и специальную подготовку по установленной программе без предъявления требований к стажу работы
069.rtf;common;Назначение на должность и освобождение от нее производится приказом
069.rtf;common;директора предприятия по представлению
069.rtf;common;Заведующий бюро пропусков должен знать:
069.rtf;common;Постановления, распоряжения, приказы, другие руководящие и нормативные документы вышестоящих органов, касающиеся организации пропускного режима
069.rtf;common;Правила и порядок выдачи пропусков
069.rtf;common;Структуру предприятия и режим работы его подразделений
069.rtf;common;Порядок учета и хранения бланков и возвращенных пропусков
069.rtf;common;Руководящий состав работников предприятия и образцы подписей лиц, имеющих право разрешать выдачу пропусков
069.rtf;common;Основы организации труда
069.rtf;common;Законодательство о труде
069.rtf;common;Правила внутреннего трудового распорядка
069.rtf;common;Правила и нормы охраны труда
069.rtf;common;Заведующий бюро пропусков подчиняется непосредственно директору предприятия а также руководителям следующих структурных подразделений:
069.rtf;common;Заведующий бюро пропусков осуществляется руководство одноименным структурным подразделением
069.rtf;tasks;Заведующий бюро пропусков:
069.rtf;tasks;Организует работу бюро в соответствии с установленным порядком и действующими руководящими документами по организации пропускного режима предприятия
069.rtf;tasks;Обеспечивает соблюдение пропускного режима и осуществляет контроль за правильностью оформления, выдачей и возвратом пропусков, дающих право прохода (выхода) на предприятие или въезда (выезда) на его территорию, а также учет и хранение бланков и возвращенных пропусков
069.rtf;tasks;Руководит работой по подготовке необходимых отчетов и справок, связанных с деятельностью бюро и выдачей пропускных документов
069.rtf;tasks;Составляет в установленном порядке акты на уничтожение документов, срок хранения которых истек
069.rtf;rights;Заведующий бюро пропусков вправе:
069.rtf;rights;Знакомиться с проектами решений руководителя предприятия (руководителей иных структурных подразделений), касающихся вопросов пропускного режима на предприятии
069.rtf;rights;Вносить на рассмотрение директора предприятия предложения о поощрении или о наложении взысканий на подчиненных ему работников
069.rtf;rights;Подписывать и визировать документы в пределах своей компетенции
069.rtf;rights;Требовать от директора предприятия и руководителей структурных подразделений оказания содействия в исполнении своих должностных прав и обязанностей
069.rtf;respons;За ненадлежащее исполнение или неисполнение своих должностных обязанностей, предусмотренных настоящей должностной инструкцией - в пределах, определенных действующим трудовым законодательством Российской Федерации
069.rtf;respons;За правонарушения, совершенные в процессе осуществления своей деятельности - в пределах, определенных действующим административным, уголовным и гражданским законодательством Российской Федерации
069.rtf;respons;За причинение материального ущерба - в пределах, определенных действующим трудовым и гражданским законодательством Российской Федерации
070.rtf;common;Заведующий ветеринарной аптекой относится к категории руководителей
070.rtf;common;На должность заведующего ветеринарной аптекой назначается лицо, имеющее высшее профессиональное (ветеринарное) образование и стаж работы по профилю не менее лет
070.rtf;common;Заведующий ветеринарной аптекой должен знать:
070.rtf;common;Конституцию Российской Федерации
070.rtf;common;"Закон РФ от  № -ФЗ ""О лекарственных средствах"", Закон РФ от . № -I ""О ветеринарии"", Закон РФ от . № - I ""О защите прав потребителей"", иные законы и иные нормативные правовые акты по вопросам осуществления ветеринарной деятельности."
070.rtf;common;Теоретические и организационные основы обеспечения ветеринарными препаратами
070.rtf;common;Список ветеринарных препаратов и средств по уходу за животными, прошедших регистрацию в Департаменте ветеринарии и процедуры стандартизации и сертификации ветеринарных препаратов и разрешенных к использованию на территории Российской Федерации
070.rtf;common;Способы контроля качества ветеринарных препаратов
070.rtf;common;Правила и порядок хранения и складирования ветеринарных препаратов, положения и инструкции по их учету
070.rtf;common;Порядок ценообразования
070.rtf;common;Основы экономики, организации труда и управления
070.rtf;common;Законодательство о труде и охране труда Российской Федерации
070.rtf;common;Правила и нормы охраны труда и техники безопасности, производственной санитарии и противопожарной защиты.
070.rtf;common;Заведующий ветеринарной аптекой подчиняется непосредственно
070.rtf;common;"На время отсутствия заведующего ветеринарной аптекой (командировка, отпуск, болезнь, пр) его обязанности исполняет заместитель; при отсутствии такового - лицо, назначенное в установленном порядке."
070.rtf;tasks;Заведующий ветеринарной аптекой:
070.rtf;tasks;Руководит ветеринарной аптекой в соответствии с действующим законодательством
070.rtf;tasks;Оформляет, получает лицензии, соответствующие разрешения и иные документы (сертификаты соответствия, гигиенические заключения) и представляет их, либо часть информации, содержащейся в этих документах для ознакомления покупателям
070.rtf;tasks;Доводит до сведения покупателей информацию о ветеринарных препаратах и иную информацию, способствующую правильному выбору их покупателями
070.rtf;tasks;Организует работу коллектива по осуществлению своевременного и качественного обслуживания населения ветеринарными препаратами и средствами по уходу за животными
070.rtf;tasks;Обеспечивает наличие оборудования, инвентаря в соответствии с требованиями стандартов необходимых для сохранения качества и безопасности ветеринарных препаратов при их хранении и реализации в месте продажи
070.rtf;tasks;Ведет переговоры, связанные с поставками, заказами и реализацией ветеринарных препаратов и средств по уходу за животными
070.rtf;tasks;Оформляет договоры поставки, купли - продажи, комиссии и тд.
070.rtf;tasks;Обеспечивает организацию учета товарно-материальных ценностей и представляет отчетность об объемах произведенных продаж в соответствующие органы
070.rtf;tasks;Обеспечивает надлежащее состояние помещений ветеринарной аптеки, наличие соответствующих условий для хранения биологических препаратов, медикаментов, дезсредств, оборудования, инструментов и тд.
070.rtf;tasks;Осуществляет рациональное использование трудовых, финансовых и материальных ресурсов ветеринарной аптеки.
070.rtf;tasks;Организует работу по кадровому планированию, рациональной расстановке, использованию, обучению и оценке квалификации кадров.
070.rtf;tasks;Контролирует качество выполнения работы подчиненными сотрудниками и соблюдение ими правил внутреннего трудового распорядка.
070.rtf;tasks;Принимать участие в работе совещаний, конференций, секций, на которых рассматриваются вопросы, относящиеся к профессиональной компетенции
070.rtf;rights;Заведующий ветеринарной аптекой вправе:
070.rtf;rights;Действовать от имени ветеринарной аптеки во взаимоотношениях с иными организациями и органами государственной власти
070.rtf;rights;Подписывать и визировать документы в пределах своей компетенции
070.rtf;rights;Запрашивать от персонала необходимые информацию и документы
070.rtf;rights;Давать персоналу аптеки обязательные для исполнения указания
070.rtf;respons;За ненадлежащее исполнение или неисполнение своих должностных обязанностей, предусмотренных настоящей должностной инструкцией - в пределах, определенных действующим трудовым законодательством Российской Федерации
070.rtf;respons;За правонарушения, совершенные в процессе осуществления своей деятельности - в пределах, определенных действующим административным, уголовным и гражданским законодательством Российской Федерации
070.rtf;respons;За причинение материального ущерба - в пределах, определенных действующим трудовым и гражданским законодательством Российской Федерации
071.rtf;common;Заведующий ветеринарной клиникой относится к категории руководителей
071.rtf;common;На должность заведующего ветеринарной клиникой назначается лицо, имеющее высшее профессиональное (ветеринарное) образование и стаж работы по профилю не менее лет
071.rtf;common;Назначение на должность заведующего ветеринарной клиникой и освобождение от нее производится приказом директора организации
071.rtf;common;Заведующий ветеринарной клиникой должен знать:
071.rtf;common;Конституцию Российской Федерации
071.rtf;common;"Закон РФ от  № -I ""О ветеринарии"", Закон РФ от . № - I ""О защите прав потребителей"", иные законы; Правила оказания платных ветеринарных услуг, Положение о лицензировании ветеринарной деятельности и иные нормативные правовые акты по вопросам осуществления ветеринарной деятельности."
071.rtf;common;Организацию планово-экономической и финансовой деятельности клиники
071.rtf;common;Список ветеринарных препаратов и средств по уходу за животными, прошедших регистрацию в Департаменте ветеринарии и процедуры стандартизации и сертификации ветеринарных препаратов и разрешенных к использованию на территории Российской Федерации
071.rtf;common;Основы экономики, организации труда и управления
071.rtf;common;Законодательство о труде и охране труда Российской Федерации
071.rtf;common;Правила и нормы охраны труда и техники безопасности, производственной санитарии и противопожарной защиты
071.rtf;common;Заведующий ветеринарной клиникой в своей деятельности руководствуется:
071.rtf;common;Уставом организации
071.rtf;common;Настоящей должностной инструкцией
071.rtf;common;Заведующий ветеринарной клиникой подчиняется непосредственно
071.rtf;tasks;Заведующий ветеринарной клиникой:
071.rtf;tasks;Обеспечивает соблюдение обязательных с учетом профиля и специализации деятельности ветеринарной клиники требований, установленных для в государственных стандартах, санитарных, ветеринарных, противопожарных правилах и других нормативных документах
071.rtf;tasks;Оформляет, получает лицензии, соответствующие разрешения и иные документы (сертификаты соответствия, гигиенические заключения) и представляет их, либо часть информации, содержащейся в этих документах для ознакомления потребителям
071.rtf;tasks;"Доводит до сведения потребителей информацию об оказываемых ветеринарных услугах (их перечень и формы предоставления; прейскуранты на ветеринарные услуги, утвержденные органом исполнительной власти субъекта Российской Федерации, с указанием номера и даты утверждения; лицензию; образцы препаратов, лекарственных средств и др; средства ветеринарного назначения, применяемые при оказании платных ветеринарных услуг; нормативные документы по вопросам ветеринарного обслуживания животных; пр.)."
071.rtf;tasks;Организует работу персонала клиники по оказанию следующих ветеринарных услуг:
071.rtf;tasks;Амбулаторный прием животных
071.rtf;tasks;Ветеринарное обслуживание животных на дому у владельцев
071.rtf;tasks;Консультации по вопросам лечения, содержания и кормления животных, птиц, рыб и прочих представителей животного мира
071.rtf;tasks;Специальная диагностика (эндоскопия, УЗИ и др).
071.rtf;tasks;Стационарное лечение больных животных
071.rtf;tasks;Рентгенодиагностика и рентгенотерапия
071.rtf;tasks;Осуществляет контроль за рациональным использованием материальных, финансовых и трудовых ресурсов
071.rtf;tasks;Анализирует качество обслуживания потребителей, разрабатывает и проводит мероприятия по его повышению
071.rtf;tasks;Обеспечивает организацию учета товарно-материальных ценностей и представляет отчетность об объемах оказанных услуг соответствующим организациям
071.rtf;tasks;Осуществляет подбор и расстановку кадров, контроль за их рациональным использованием
071.rtf;tasks;Руководит персоналом ветеринарной клиники
071.rtf;rights;Заведующий ветеринарной клиникой вправе:
071.rtf;rights;Действовать от имени ветеринарной клиники и представлять ее во взаимоотношениях с иными организациями и органами государственной власти
071.rtf;rights;Подписывать и визировать документы в пределах своей компетенции
071.rtf;rights;Запрашивать от персонала клиники необходимые информацию и документы
071.rtf;rights;Давать персоналу ветеринарной клиники обязательные для исполнения указания
071.rtf;rights;"Вносить на рассмотрение директора организации представления о назначении, перемещении и освобождении от занимаемых должностей работников ветеринарной клиники; предложения о поощрении отличившихся работников, наложении взысканий на нарушителей производственной и трудовой дисциплины"
071.rtf;rights;Принимать участие в работе совещаний, конференций, секций, на которых рассматриваются вопросы, относящиеся к профессиональной компетенции
071.rtf;respons;За ненадлежащее исполнение или неисполнение своих должностных обязанностей, предусмотренных настоящей должностной инструкцией - в пределах, определенных действующим трудовым законодательством Российской Федерации
071.rtf;respons;За правонарушения, совершенные в процессе осуществления своей деятельности - в пределах, определенных действующим административным, уголовным и гражданским законодательством Российской Федерации
071.rtf;respons;За причинение материального ущерба - в пределах, определенных действующим трудовым и гражданским законодательством Российской Федерации
073.rtf;rights;С  - по вопросам
074.rtf;common;Назначение на должность заведующего копировально-множительным бюро и освобождение от нее
074.rtf;common;производится  приказом директора предприятия по представлению   Заведующий копировально-множительным бюро должен знать:  Постановления, распоряжения, приказы, другие руководящие и нормативные документы вышестоящих органов, касающиеся вопросов выполнения копировальных и множительных работ  Методы и средства выполнения копировальных и множительных работ.  Конструкцию, принципы работы, правила монтажа и эксплуатации копировального и множительного оборудования.  Виды материалов, используемых при копировальных и множительных работах, их свойства и технические характеристики.  Стандарты, инструкции и другие руководящие документы по оформлению технической документации.  Нормы и расценки на выполнение копировальных и множительных работ.  Передовой отечественный и зарубежный опыт выполнения копировальных и множительных работ.   Основы организации труда. . Законодательство о труде.  Правила внутреннего трудового распорядка. . Правила и нормы охраны труда.    В своей деятельности заведующий копировально-множительным бюро руководствуется:  Положением о копировально-множительным бюро.  Настоящей должностной инструкцией.   Заведующий копировально-множительным бюро подчиняется непосредственно
074.rtf;rights;- по вопросам  Вносить на рассмотрение директора предприятия предложения о поощрении отличившихся работников бюро, наложении взысканий на нарушителей производственной и трудовой дисциплины
075.rtf;common;Заведующий очистными сооружениями относится к категории руководителей
075.rtf;common;На должность заведующего очистными сооружениями назначается лицо, имеющее высшее профессиональное (техническое) образование и стаж работы по профилю не менее лет
075.rtf;common;Заведующий очистными сооружениями должен знать:
075.rtf;common;Постановления, распоряжения, приказы вышестоящих органов, методическую, нормативные и другие руководящие материалы по вопросам деятельности отрасли
075.rtf;common;Инструкции, правила и другие руководящие материалы по очистке воды и стоков
075.rtf;common;Правила технической эксплуатации водопроводных и канализационных сетей и сооружений
075.rtf;common;Основы экономики, организации труда и управления производством
075.rtf;common;Правила внутреннего трудового распорядка
075.rtf;common;Законодательство о труде и охране труда Российской Федерации
075.rtf;common;Правила и нормы охраны труда и техники безопасности, производственной санитарии и противопожарной защиты   Заведующий очистными сооружениями подчиняется непосредственно
075.rtf;common;"На время отсутствия заведующего очистными сооружениями (болезнь, отпуск, командировка, пр) его обязанности исполняет его заместитель; при отсутствии такового - лицо, назначенное приказом директора организации."
075.rtf;tasks;Заведующий очистными сооружениями:
075.rtf;tasks;Организует и обеспечивает технически правильную эксплуатацию, нормальный режим работы очистных сооружений и эффективное использование оборудования, производство планово-предупредительного и капитального ремонта оборудования по утвержденному графику
